response,tran_amount,,,
1,35,,,
1,39,,,
0,52,,,
0,99,,,
0,78,,,
0,81,,,
0,93,,,MEAN OF tran_amount
0,89,,,64.9951428
0,76,,,
1,75,,,MODE VALUE
0,94,,,49
0,80,,,MEDIAN VALUE
0,59,,,65
0,43,,,
0,78,,,
0,98,,,
0,81,,,
0,93,,,
0,103,,,
0,96,,,
0,75,,,
0,49,,,
0,54,,,
0,48,,,
0,98,,,
1,37,,,
0,72,,,
0,83,,,
0,81,,,
0,105,,,
0,77,,,
0,71,,,
0,48,,,
0,70,,,
0,70,,,
1,36,,,
0,48,,,
1,87,,,
0,88,,,
0,39,,,
0,51,,,
0,47,,,
0,37,,,
0,80,,,
0,105,,,
0,78,,,
1,45,,,
0,79,,,
0,59,,,
0,55,,,
0,94,,,
0,69,,,
0,78,,,
1,59,,,
0,98,,,
0,88,,,
0,35,,,
0,40,,,
0,53,,,
0,55,,,
0,86,,,
0,93,,,
0,79,,,
1,94,,,
1,63,,,
1,91,,,
0,101,,,
0,69,,,
0,41,,,
0,67,,,
0,45,,,
1,71,,,
0,91,,,
0,49,,,
0,101,,,
0,64,,,
0,77,,,
0,101,,,
0,67,,,
1,40,,,
0,76,,,
0,103,,,
0,54,,,
1,77,,,
0,41,,,
0,38,,,
0,102,,,
1,89,,,
0,48,,,
0,64,,,
0,44,,,
0,70,,,
0,53,,,
0,82,,,
0,87,,,
0,64,,,
0,89,,,
0,87,,,
0,98,,,
0,67,,,
0,48,,,
0,102,,,
0,56,,,
0,50,,,
0,56,,,
0,91,,,
1,104,,,
0,41,,,
0,92,,,
0,63,,,
1,52,,,
0,38,,,
0,95,,,
1,50,,,
0,40,,,
0,81,,,
0,49,,,
0,39,,,
0,55,,,
0,37,,,
1,89,,,
1,48,,,
0,40,,,
1,46,,,
0,90,,,
0,67,,,
0,87,,,
1,73,,,
0,46,,,
1,42,,,
0,65,,,
0,69,,,
0,39,,,
0,72,,,
0,62,,,
0,66,,,
1,84,,,
0,91,,,
0,48,,,
0,71,,,
0,79,,,
0,104,,,
0,82,,,
0,51,,,
0,41,,,
0,83,,,
0,54,,,
0,73,,,
0,54,,,
1,52,,,
0,95,,,
0,38,,,
0,35,,,
0,74,,,
0,99,,,
0,44,,,
1,105,,,
0,66,,,
0,56,,,
0,42,,,
0,44,,,
0,70,,,
0,36,,,
0,104,,,
0,71,,,
0,104,,,
0,91,,,
1,96,,,
0,69,,,
0,92,,,
0,94,,,
0,80,,,
0,86,,,
0,59,,,
0,83,,,
1,80,,,
0,89,,,
0,64,,,
0,70,,,
0,96,,,
0,71,,,
0,96,,,
0,42,,,
1,81,,,
0,67,,,
0,69,,,
0,92,,,
0,42,,,
0,103,,,
0,89,,,
0,39,,,
1,104,,,
0,83,,,
0,102,,,
0,42,,,
0,56,,,
0,59,,,
0,90,,,
0,37,,,
1,90,,,
1,84,,,
0,94,,,
0,71,,,
0,48,,,
0,89,,,
0,54,,,
0,74,,,
0,102,,,
1,64,,,
0,88,,,
0,66,,,
0,105,,,
0,99,,,
0,66,,,
0,38,,,
0,37,,,
0,100,,,
0,82,,,
0,85,,,
0,89,,,
1,56,,,
1,87,,,
1,72,,,
0,102,,,
0,42,,,
0,96,,,
0,86,,,
0,66,,,
0,77,,,
0,97,,,
0,55,,,
0,72,,,
0,79,,,
0,97,,,
0,73,,,
0,48,,,
0,66,,,
0,51,,,
1,90,,,
1,72,,,
0,45,,,
0,63,,,
0,74,,,
0,56,,,
0,79,,,
0,79,,,
0,55,,,
0,40,,,
0,97,,,
0,88,,,
1,72,,,
0,36,,,
0,58,,,
0,45,,,
1,77,,,
0,101,,,
0,89,,,
0,51,,,
0,39,,,
1,104,,,
0,57,,,
0,104,,,
0,96,,,
0,85,,,
0,98,,,
0,48,,,
0,36,,,
0,43,,,
0,68,,,
0,98,,,
0,40,,,
0,77,,,
0,85,,,
0,72,,,
0,70,,,
0,70,,,
0,99,,,
0,92,,,
1,62,,,
0,39,,,
0,91,,,
0,39,,,
0,58,,,
0,73,,,
0,75,,,
0,105,,,
0,48,,,
0,102,,,
0,37,,,
1,83,,,
0,44,,,
0,54,,,
0,79,,,
0,92,,,
0,84,,,
0,55,,,
1,55,,,
0,84,,,
1,70,,,
0,47,,,
0,98,,,
0,72,,,
0,71,,,
0,37,,,
0,66,,,
0,69,,,
0,104,,,
0,76,,,
0,58,,,
0,93,,,
